,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
21,053280,353510016478,135082381048,188611681549,161527055796,52248672078,164898334929,10394723254,612985949695,114156993250,13757266664,4927404786,6742813431,-2095053316,842526115,-1827827644,18.623101117864195,1.6957522858675707,-0.34177835838528176,-1.2705121109331174,-3080354845.0
22,002230,152796382103,84587932593,15047581789,5601063862,116054871036,137748800314,-488115186,52735410431,5646079124,4798220533,-1896507891,-12837266320,2876079441,209381527,374082330,10.70642871242547,-0.9255928455106253,5.453791707496268,2.087916144782345,3459543298.0
23,058220,28172952588,15205726331,35548041467,35513349936,-64046312368,-7375088879,-10910367242,553412137,273165543,-8567295092,39428435556,-40303154577,-27053140577,3577763421,23914,49.3602371066177,-1971.4723462958673,-4888.425599708161,366.8178244472652,-23475353242.0
24,025950,111448831710,60333356193,26126603847,11949275171,79387477135,85322227863,2202528882,35499042970,5164662719,1760028121,-262198505,-6666660,-1934043150,8051220,514080553,14.548737900806568,6.204473973738791,-5.44815574784494,-2.266751816543574,-1411911377.0
25,314130,117277387268,104080534767,4421660211,2412026028,-150444495266,112855727057,-22723085621,150581305,150581305,-15317586854,-7314999995,98642226335,-29962058830,47665151,0,100.0,-15090.24352060171,-19897.595408673074,-26.54899278161318,-29914393679.0
26,007530,124453534094,48907148673,87921068370,70534768576,17349290289,36532465724,1301604392,108309788256,16487089888,11678715426,-2662577461,1518371618,-2366193232,1927043665,694690770,15.222160576134883,1.2017421628814748,-2.1846531787203647,-6.476960109608834,255541203.0
27,052670,42628612454,34228729728,4432682835,4385873217,13709985869,38195929619,-487622711,18999122711,3787079218,1803913385,-7851064344,6377963050,993835793,0,236496585,19.932916248850685,-2.5665538268126404,5.2309562294926115,2.601941628109062,1230332378.0
28,017510,80756413754,31805152067,8476772867,1695533832,64807671977,72279640887,201125486,14311511991,1969137533,1332862790,123597520,-1923685949,2144373501,20628,351655401,13.759115977671124,1.4053405826475962,14.983556610570009,2.9667738725382633,2496049530.0
29,048470,80048655245,57978876386,17370877028,16776794649,53940547676,62677778217,1037731580,106357816216,5411122091,5165114874,-4711635375,278497055,199067665,76565710,6687809,5.087658136954089,0.9756984647865384,0.18716787546269037,0.3176048524100479,282321184.0
30,061970,411810148826,73940396122,257838945866,156394599051,95899787541,153971202960,25653501954,234124085003,42860080331,46499693885,-69717093342,17815338340,19372019236,5835132802,2008491674,18.30656608031199,10.957224650198327,8.27425304652094,12.581585948271531,27215643712.0
31,033560,184603437139,43337391176,16000299538,12161236288,134232895445,168603137601,-1362683814,54244802325,7839602817,-6550773580,4312184593,0,-10781284932,0,224063303,14.452265435552954,-2.5121002484914117,-19.87524052056724,-6.394474673130908,-10557221629.0
32,131100,53472347964,20791836833,38296020088,37245753857,-77740763585,15176327876,-11795653161,19697229511,-960166550,-4803405234,-23994603127,23512590189,-25343822957,1254975403,0,-4.874627416326702,-59.88483382605999,-128.66694243901983,-166.99575262260234,-24088847554.0
33,024940,49212756465,30541057505,9565265805,8272824847,35206140807,39647490660,552269164,57690337329,15584528623,4505168254,5223992983,-1584522901,2412158631,11491642,213164152,27.01410555830796,0.9572992455400035,4.18121776137968,6.084013365904151,2636814425.0
