,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
39,085910,99294899559,49898437223,56769279817,42403948893,28356435112,42525619742,2827061377,38129773075,7404110447,8293038805,-8597630135,11901925760,152454428,694907462,315341,0,0,0,0.003585001910023428,847677231.0
40,004920,44414767231,5657253732,19436779364,14996713064,-27414246067,24977987867,-2746572257,16542962819,4043458646,-2165589900,-8629859635,10016160421,-8043321598,428888130,112519708,0,0,0,-0.32201639462826953,-7501913760.0
41,094170,70231514851,57423249685,40350522000,20585169057,17739174775,29880992851,2323651138,70719105589,20225781012,-9255389764,-1710182010,13437299690,795098274,588682836,1019304549,0,0,0,0.02660883050187508,2403085659.0
42,006570,154247721383,70438614538,69877119758,53736506303,-2773591257,84370601625,-12333847209,132462555543,17272808765,6052010439,-2916891960,-1544946868,-16594944785,1625215492,1307801686,0,0,0,-0.19669108036895547,-13661927607.0
43,023590,973711849840,335336825504,418240264993,247443066990,370651458157,555471584847,44293820333,246162181809,60109257398,61571570286,76675052803,131839880491,38692528324,5052446983,15916872330,0,0,0,0.06965707946097285,59661847637.0
44,035720,7345506484784,1782401903517,2020061399372,1421581282550,209149712500,5325445085412,300064492177,1779194942006,1779194942006,630615476829,-257556214225,349765875905,-117878818553,4455052346,82786933724,0,0,0,-0.02213501719807526,-30636832483.0
45,046070,295149721636,103324223561,252674138153,237532013553,-27253916794,42475583483,-627331230,186039686308,21877021090,-1663249043,2044765139,-376178217,-13897504067,9475623977,-1997394029,0,0,0,-0.3271880672942891,-6419274119.0
46,058470,361533314540,257710373589,24192132028,21920276366,326471703418,337341182512,77881753690,201335459350,88777601577,99804058912,-7673858585,-18343883194,55378772170,6396806,18173595387,0,0,0,0.16416250087707585,73558764363.0
47,150900,42128505835,20446811496,24478800463,16351938005,-13705588993,17649705372,607531139,29391857398,18116281136,8102868931,-3918244470,-2975219577,-5251593995,0,-220886088,0,0,0,-0.29754570313288514,-5472480083.0
48,053620,192962464233,81151729484,36225599210,28621889511,147041966201,156736865023,9226143392,141028441628,25158836041,16542205311,-4971516571,6728290789,7159325852,157649865,896097532,0,0,0,0.04567735772276306,8213073249.0
49,045510,73453827156,49386406059,33549345310,29463076301,5526130875,39904481846,1193939683,138330479637,9145994544,2285151402,-427524581,-1823658294,746914262,161383661,320437085,0,0,0,0.018717553203234243,1228735008.0
50,025880,99665009460,50554728216,46073846473,34806702104,36440185170,53591162987,1308443175,64511066475,9619546281,2407469876,-3668181908,352974452,1333381057,1055546622,198666914,0,0,0,0.024880614315525268,2587594593.0
51,069080,534999116916,311361041153,105954755984,90831558277,318157061671,429044360932,104662513062,287993865390,0,132135521771,-95421792850,-8326826286,76303217872,94177064,28750294961,0,0,0,0.17784458862540192,105147689897.0
52,115440,99782423028,77695446039,40034036537,19883167914,30016780754,59748386491,-3251159910,52351390967,12284444588,5989525047,-1090222834,19289429424,-11994696660,116200294,1303673021,0,0,0,-0.20075348246946856,-10574823345.0
53,305090,20788836549,10072386404,13150467107,7855676430,-20947910966,7638369442,-10510884722,2290186872,-2455545987,-5807188705,-408224544,6091633793,-10468628621,139178302,34165951,0,0,0,-1.3705318524445365,-10295284368.0
54,025540,891276855825,380105406522,200488563083,155358513084,654533864128,690788292742,67322166153,762699590057,111321419015,111892781995,-54868780104,-10550921976,46684609306,6413230,15017531588,0,0,0,0.06758164519652053,61708554124.0
