종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"267250","현대중공업지주","KOSPI",,"68900","1000","1.47","68000","70100","66600","692623","47687532300","5442623556500","78993085"
"005380","현대차","KOSPI",,"217500","-4000","-1.81","221000","221500","217000","1047837","228658375000","46472830672500","213668187"
"005387","현대차2우B","KOSPI",,"107000","1500","1.42","106000","108000","104500","122064","12992743500","3903943257000","36485451"
"005389","현대차3우B","KOSPI",,"100500","500","0.50","100000","101000","99500","21704","2175171700","244087867500","2428735"
"005385","현대차우","KOSPI",,"109500","2500","2.34","107000","109500","105000","143596","15545833500","2667057007500","24356685"
"001500","현대차증권","KOSPI",,"13900","500","3.73","13500","14100","13100","837359","11562094150","417654829000","30047110"
"011760","현대코퍼레이션","KOSPI",,"21400","1100","5.42","20450","21400","20150","412781","8657565350","283099872400","13228966"
"227840","현대코퍼레이션홀딩스","KOSPI",,"15000","-50","-0.33","15150","15150","14500","117959","1762597700","136512540000","9100836"
"126560","현대퓨처넷","KOSPI",,"4630","10","0.22","4700","4740","4620","418236","1950970305","522618639480","112876596"
"001450","현대해상","KOSPI",,"24650","-900","-3.52","25550","25700","24650","433168","10802442650","2203710000000","89400000"
"057050","현대홈쇼핑","KOSPI",,"79800","900","1.14","78900","79800","78700","24492","1943002200","957600000000","12000000"
"093240","형지엘리트","KOSPI",,"4710","-65","-1.36","4780","4930","4700","529094","2552795725","146739098580","31154798"
"003010","혜인","KOSPI",,"7500","-100","-1.32","7600","7710","7320","512440","3844839230","95345602500","12712747"
"111110","호전실업","KOSPI",,"13300","350","2.70","12900","13550","12400","163412","2141246400","106400000000","8000000"
"008770","호텔신라","KOSPI",,"88600","2700","3.14","86300","89900","84600","1993861","174566758000","3477383520600","39248121"
"008775","호텔신라우","KOSPI",,"93900","-3900","-3.99","96600","100000","87500","196366","18671442800","70601438100","751879"
"002460","화성산업","KOSPI",,"13150","0","0.00","13150","13250","12850","92676","1211885600","163728020000","12450800"
"378850","화승알앤에이","KOSPI",,"6750","70","1.05","6680","7000","6430","1332501","8993513430","128206955250","18993623"
"241590","화승엔터프라이즈","KOSPI",,"17200","-150","-0.86","17300","17350","16700","263513","4497122950","1041381482000","60545435"
"006060","화승인더","KOSPI",,"7810","-110","-1.39","7920","7990","7760","505569","3958678870","432049200000","55320000"
"013520","화승코퍼레이션","KOSPI",,"2170","150","7.43","2065","2170","2010","6230009","12904818200","108611216840","50051252"
"010690","화신","KOSPI",,"4900","-40","-0.81","4940","4995","4740","265856","1283140380","171110009000","34920410"
"133820","화인베스틸","KOSPI",,"2955","15","0.51","2960","3080","2925","996022","2992020165","87320250000","29550000"
"010660","화천기계","KOSPI",,"2710","10","0.37","2695","2770","2675","154177","419301875","59620000000","22000000"
"000850","화천기공","KOSPI",,"38500","1600","4.34","36800","38650","36800","22734","864279000","84700000000","2200000"
"016580","환인제약","KOSPI",,"21050","-50","-0.24","21050","21250","20400","284974","5930805550","391531473500","18600070"
"032560","황금에스티","KOSPI",,"9460","420","4.65","9090","9600","8940","745353","6938201030","151360000000","16000000"
"004800","효성","KOSPI",,"100500","-2000","-1.95","102000","104500","99900","171174","17403308200","2117638012500","21071025"
"094280","효성ITX","KOSPI",,"19650","-250","-1.26","19900","20200","19600","26212","518929950","227118630000","11558200"
"298040","효성중공업","KOSPI",,"71900","-800","-1.10","72800","73500","71700","59061","4264957700","670435001200","9324548"
"298050","효성첨단소재","KOSPI",,"386000","-8000","-2.03","394000","401000","385000","93497","36565266000","1729259928000","4479948"
"298020","효성티앤씨","KOSPI",,"698000","7000","1.01","691000","705000","686000","51833","36111844000","3020722036000","4327682"
"298000","효성화학","KOSPI",,"413500","-7000","-1.66","422000","436000","409500","94400","40006875500","1319117101000","3190126"
"093370","후성","KOSPI",,"10350","-100","-0.96","10450","10650","10200","798129","8320177900","958480576650","92606819"
"081660","휠라홀딩스","KOSPI",,"45700","1100","2.47","44650","45900","44250","328714","14920944650","2776376545400","60752222"
"005870","휴니드","KOSPI",,"8160","-10","-0.12","8200","8330","7900","228070","1854046860","115186682400","14116015"
"079980","휴비스","KOSPI",,"10850","150","1.40","10850","10950","10500","324565","3499332500","374325000000","34500000"
"005010","휴스틸","KOSPI",,"17250","2450","16.55","14650","17600","14650","1674300","27773413700","131473773000","7621668"
"069260","휴켐스","KOSPI",,"21850","-250","-1.13","22100","22450","21850","205951","4528064150","893197147800","40878588"
"000540","흥국화재","KOSPI",,"4640","155","3.46","4485","4660","4460","549609","2527140495","298085872800","64242645"
"000547","흥국화재2우B","KOSPI",,"28850","-1150","-3.83","28050","30000","27050","34871","1008462550","4431360000","153600"
"000545","흥국화재우","KOSPI",,"10900","100","0.93","10300","11200","10300","52039","569684500","8371200000","768000"
"003280","흥아해운","KOSPI",,"258","0","0.00","0","0","0","0","0","30117000222","116732559"
